Year,Category,Full Name,Movie,Win
2019,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joe Pesci,"Irishman, The",FALSE
2019,Best Performance by an Actress in a Motion Picture - Drama,Renée Zellweger,Judy,TRUE
2019,Best Performance by an Actress in a Motion Picture - Drama,Cynthia Erivo,Harriet,FALSE
2019,Best Performance by an Actress in a Motion Picture - Drama,Scarlett Johansson,Marriage Story,FALSE
2019,Best Performance by an Actress in a Motion Picture - Drama,Saoirse Ronan,Little Women,FALSE
2019,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,Bombshell,FALSE
2019,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Awkwafina,"Farewell, The",TRUE
2019,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ana de Armas,Knives Out,FALSE
2019,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cate Blanchett,"Where'd You Go, Bernadette",FALSE
2019,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Beanie Feldstein,Booksmart,FALSE
2019,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson,Late Night,FALSE
2019,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laura Dern,Marriage Story,TRUE
2019,Best Performance by an Actress in a Supporting Role in any Motion Picture,Annette Bening,"Report, The",FALSE
2019,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Lopez,Hustlers,FALSE
2019,Best Performance by an Actress in a Supporting Role in any Motion Picture,Margot Robbie,Bombshell,FALSE
2019,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathy Bates,Richard Jewell,FALSE
2020,Best Director - Motion Picture,Chloé Zhao,Nomadland,TRUE
2020,Best Director - Motion Picture,Emerald Fennell,Promising Young Woman,FALSE
2020,Best Director - Motion Picture,David Fincher,Mank,FALSE
